O	 D	 AMOEBA	 FlowValue
84	18	8	2555.571628
63	76	7	2808.74221
40	98	6	3399.974931
46	67	5	3613.006825
138	142	4	3896.956272
122	72	3	523.5363019
122	4	3	423.5286452
45	126	3	497.891284
50	125	3	1233.189461
134	72	3	213.4498918
13	64	3	1322.237365
13	121	3	576.1746353
13	137	3	478.0993711
145	94	3	601.5554505
136	55	3	504.8447889
136	62	3	413.5463397
45	142	3	1394.700139
13	99	3	1620.8129
23	125	3	99.98833469
59	23	3	430.7374225
23	5	3	296.1208173
22	33	3	688.8123542
2	105	3	2537.287089
144	121	3	282.6517079
13	142	3	697.3500697
13	10	3	321.7369645
149	113	3	1387.411553
122	10	3	290.6011292
149	54	3	337.8541435
13	125	3	483.276951
136	98	3	344.6979193
45	57	3	366.5857123
122	122	3	707.749861
50	121	3	594.2933345
2	126	3	717.5492034
2	121	3	558.055936
53	55	3	332.7386109
149	91	3	612.3797399
53	29	3	545.7206406
122	105	3	353.0138558
136	79	3	1929.212733
144	95	3	279.160657
149	126	3	329.4868791
2	57	3	1466.342849
122	111	3	667.0557825
22	55	3	522.0554067
132	142	3	615.3088851
45	113	3	693.7057763
13	27	3	680.9547703
149	87	2	340.9187761
13	20	2	315.7140151
48	145	2	207.8420179
25	145	2	429.5401703
112	32	2	313.0583878
145	145	2	257.7241022
122	42	2	461.6500692
122	53	2	742.1937126
45	60	2	649.5491365
138	45	2	300.7421888
122	73	2	1081.680318
43	43	2	477.4509735
2	145	2	335.3184555
132	31	2	751.1739057
149	58	2	432.7755338
27	103	2	266.8045157
25	46	2	1135.255273
4	45	2	486.9159247
122	81	2	2113.367047
104	62	2	1708.126186
46	74	2	2411.03583
149	37	2	4547.209472
122	31	2	513.354552
50	145	2	105.3066224
13	135	2	533.9377363
25	45	2	358.0264152
108	145	2	515.4482044
135	45	2	554.9409435
48	21	2	429.6529264
1	44	2	599.8930311
52	43	2	365.109568
45	109	2	1237.358936
149	31	2	361.4435111
13	81	2	1018.944826
45	132	2	647.7828161
104	21	2	545.6592165
122	49	2	513.9245426
108	62	2	467.4871666
27	43	2	203.6187975
149	16	2	580.0214823
46	73	2	408.993553
13	87	2	383.5336231
45	145	2	678.9505918
26	103	2	416.8820557
28	60	2	649.5491365
23	71	2	740.2315867
149	44	2	375.8365978
50	62	2	404.5562018
46	53	2	1219.318242
138	109	2	1172.234782
108	45	2	325.8040378
29	96	1	5094.516691
89	11	0	-14.70155837
40	49	0	-46.02309337
1	64	0	191.3764607
147	33	0	-88.87901344
148	145	0	138.5613453
59	131	0	181.1298882
95	138	0	161.5048451
133	30	0	-119.8057304
13	131	0	60.37662941
19	91	0	40.28814078
98	45	0	128.8895095
134	55	0	223.7380314
123	31	0	223.1520808
52	17	0	195.5185431
8	87	0	-383.5336231
45	78	0	271.881615
13	101	0	80.28162795
71	100	0	428.4304523
104	100	0	231.0636147
149	80	0	51.85310017
43	120	0	98.09004666
44	138	0	-161.5048451
135	93	0	-1544.050863
104	122	0	337.0237433
143	45	0	50.12369813
150	49	0	92.04618673
71	33	0	72.21419842
44	25	0	42.99859947
138	82	0	120.185085
104	137	0	36.7768747
51	121	0	79.72227658
108	126	0	36.60965323
71	138	0	-855.0256508
112	121	0	-3.623739844
119	83	0	-6.478236365
123	20	0	81.71421567
38	31	0	1.047662351
23	84	0	215.8841381
32	68	0	502.9801574
110	72	0	-58.40668682
99	108	0	-1841.828296
46	30	0	-230.3956354
11	72	0	-2.123879521
1	82	0	327.7775046
27	72	0	93.45069892
138	44	0	7.227626881
123	45	0	182.5934717
25	2	0	-203.2048305
13	123	0	224.0751996
102	51	0	97.76186432
75	31	0	-3.142987053
44	120	0	-63.05788714
135	83	0	-71.26060001
48	123	0	39.21315994
29	55	0	28.68436301
124	123	0	70.02349989
16	20	0	51.99995543
145	109	0	130.2483091
54	33	0	-16.66481502
79	91	0	120.8644223
26	85	0	635.0819256
148	29	0	99.22193466
49	45	0	-60.86449058
13	63	0	104.056468
108	131	0	452.8247206
146	23	0	-287.1582816
82	47	0	-35.21870818
71	83	0	-272.0859273
1	51	0	42.77081564
26	45	0	239.8776982
100	20	0	-18.57141265
12	72	0	-13.80521689
124	114	0	806.8481234
112	31	0	39.81116934
2	82	0	289.5367958
137	119	0	-300.3228471
30	49	0	10.22735408
37	33	0	-22.21975336
29	59	0	357.2653481
5	72	0	15.92909641
133	131	0	60.37662941
45	33	0	16.66481502
119	62	0	314.6548237
31	82	0	158.4257939
87	17	0	719.7660653
95	49	0	7.670515561
1	52	0	736.7387033
115	146	0	367.0765688
63	105	0	463.3306857
29	9	0	389.2312682
53	131	0	48.30130353
112	22	0	41.93135837
2	45	0	21.48158491
72	45	0	25.06184906
134	123	0	249.2836596
122	83	0	207.3035637
136	45	0	-350.8658869
52	77	0	-284.304466
128	32	0	-38.53026311
112	101	0	-40.14081398
94	21	0	81.63405601
59	21	0	150.3785242
25	101	0	8.028162795
13	49	0	150.8534727
4	121	0	235.5430899
135	41	0	-31.6922053
124	17	0	169.7358781
116	83	0	155.4776728
58	86	0	398.5016339
150	101	0	76.26754655
82	31	0	-19.90558467
50	137	0	2231.130399
145	80	0	77.77965025
55	41	0	58.10237639
135	145	0	38.79717667
39	128	0	-201.9785655
149	21	0	214.8264632
60	11	0	-80.85857101
25	31	0	98.48026099
99	32	0	48.16282889
135	38	0	-44.43325385
122	131	0	78.48961824
50	49	0	28.12522372
124	40	0	-31.04915081
39	17	0	-42.97110838
80	78	0	330.141961
103	52	0	-221.021611
90	72	0	22.30073497
93	126	0	109.8289597
97	123	0	-14.00469998
150	123	0	207.2695597
87	79	0	-742.0048972
148	49	0	508.8108655
6	51	0	-79.43151476
4	109	0	418.6552792
63	55	0	-183.5799232
28	123	0	-170.8573397
107	25	0	-36.85594241
144	45	0	35.80264152
1	31	0	14.66727291
36	84	0	240.556611
35	17	0	-21.48555419
100	33	0	16.66481502
29	20	0	-89.14278073
25	32	0	-62.61167756
148	73	0	123.7743647
4	131	0	36.22597765
66	27	0	53.75958713
52	90	0	77.60962359
148	56	0	267.2010688
84	32	0	-288.9769734
35	51	0	149.6978547
147	128	0	338.0049464
132	33	0	55.5493834
23	135	0	21.79337699
53	118	0	2014.00211
146	133	0	65.16450417
44	82	0	-38.24070887
137	11	0	220.5233755
46	79	0	185.5012243
125	25	0	24.57062827
145	59	0	214.3592089
54	31	0	28.28688348
2	49	0	40.90941632
148	80	0	19.44491256
4	138	0	399.0119704
59	49	0	25.5683852
6	45	0	-28.64211322
119	27	0	-268.7979356
32	29	0	24.80548367
87	50	0	135.1829129
17	146	0	-50.05589575
146	109	0	-232.5862662
38	39	0	527.1741816
149	32	0	183.0187498
