O	 D	 AMOEBA	 FlowValue
28	45	7	490.4961887
4	45	7	486.9159247
104	62	7	1708.126186
46	74	7	2411.03583
25	45	7	397.4093209
135	45	7	580.0027926
1	44	7	599.8930311
138	109	7	1172.234782
108	45	7	372.3474718
25	46	7	1135.255273
108	62	7	467.4871666
26	103	7	416.8820557
28	60	7	649.5491365
46	53	7	1219.318242
122	72	6	554.332555
122	4	6	423.5286452
45	126	6	1288.659794
50	125	6	1233.189461
13	64	6	1322.237365
13	121	6	775.4803268
13	137	6	478.0993711
145	94	6	601.5554505
13	99	6	1620.8129
2	105	6	2537.287089
149	113	6	1387.411553
122	10	6	446.2803056
45	95	6	573.8302394
122	122	6	707.749861
50	121	6	594.2933345
2	126	6	790.7685099
2	121	6	558.055936
149	91	6	612.3797399
45	121	6	1409.6348
149	126	6	622.364105
45	113	6	693.7057763
13	27	6	680.9547703
40	98	5	3399.974931
46	67	4	3613.006825
138	142	3	3896.956272
149	37	2	4547.209472
29	96	1	5094.516691
149	87	0	340.9187761
63	76	0	2808.74221
59	131	0	181.1298882
95	138	0	161.5048451
134	55	0	223.7380314
123	31	0	259.8202631
13	20	0	382.5711007
45	78	0	271.881615
13	101	0	204.7181513
71	100	0	428.4304523
104	122	0	337.0237433
123	20	0	81.71421567
23	84	0	215.8841381
32	68	0	502.9801574
1	82	0	327.7775046
123	45	0	182.5934717
13	123	0	254.8855395
46	33	0	911.0098878
124	123	0	70.02349989
16	20	0	51.99995543
79	91	0	120.8644223
26	85	0	635.0819256
108	131	0	452.8247206
26	45	0	272.1000756
29	91	0	330.3627544
124	114	0	806.8481234
2	82	0	289.5367958
144	5	0	222.090613
133	131	0	60.37662941
119	62	0	314.6548237
87	17	0	726.2117316
1	52	0	736.7387033
115	146	0	367.0765688
63	105	0	463.3306857
46	51	0	226.0743113
29	9	0	389.2312682
53	131	0	48.30130353
2	45	0	250.6184906
134	123	0	249.2836596
122	83	0	207.3035637
128	32	0	96.32565778
13	49	0	268.4680446
74	33	0	33.32963004
48	145	0	260.4953291
124	17	0	169.7358781
58	86	0	398.5016339
50	137	0	2231.130399
135	145	0	38.79717667
84	18	0	2555.571628
149	21	0	214.8264632
80	78	0	330.141961
72	62	0	278.6942724
27	45	0	322.2237737
150	123	0	207.2695597
146	138	0	798.0239407
148	49	0	508.8108655
4	109	0	418.6552792
