O	 D	 AMOEBA	 FlowValue
47	62	6	21.93900774
78	113	5	26.26373687
65	93	4	47.00833909
89	43	3	32.30768685
89	73	3	42.9516814
88	113	2	66.84744225
131	119	1	132.1092305
89	11	0	-0.417574868
149	87	0	0.134125575
63	76	0	6.01388354
40	49	0	-0.213203129
1	64	0	0.373036078
147	33	0	-0.659760778
148	145	0	0.092273713
59	131	0	1.222330942
95	138	0	1.269203256
133	30	0	-2.426887542
13	131	0	0.026796673
19	91	0	0.049970159
98	45	0	2.872445666
134	55	0	0.707570481
123	31	0	0.298911099
13	20	0	0.140121854
52	17	0	0.311300065
96	123	0	-1.583379672
8	87	0	-0.417813099
45	78	0	0.169275252
13	101	0	0.035631014
71	100	0	1.036824629
104	100	0	0.42744281
149	80	0	0.020400246
43	120	0	0.195180768
44	138	0	-2.027198096
135	93	0	-16.0275996
104	122	0	0.62345764
143	45	0	0.240240118
150	49	0	0.181914493
71	33	0	0.174762226
44	25	0	0.539715567
138	82	0	0.267227614
104	137	0	0.068033259
51	121	0	0.652204987
108	126	0	0.057996042
71	138	0	-2.069207846
112	121	0	-0.007685785
119	83	0	-0.055840126
49	51	0	-0.544922628
123	20	0	0.109455784
38	31	0	0.01971625
23	84	0	0.22520257
32	68	0	0.898369756
110	72	0	-0.366606745
99	108	0	-8.604020706
46	30	0	-0.149589488
11	72	0	-0.00906382
1	82	0	0.638912614
27	72	0	0.254568854
138	44	0	0.016070392
123	45	0	0.244583044
25	2	0	-0.740167446
13	123	0	0.099450233
102	51	0	0.663651673
70	72	0	-0.062772909
75	31	0	-0.072813322
44	120	0	-0.791498414
135	83	0	-0.739701257
48	123	0	0.120420593
29	55	0	0.023351376
124	123	0	0.706558699
16	20	0	1.349491486
145	109	0	0.142621744
54	33	0	-0.04572618
79	91	0	2.482223411
26	85	0	2.192424943
148	29	0	0.066075978
49	45	0	-0.402082872
13	63	0	0.046182889
108	131	0	0.71735291
146	23	0	-2.423276638
3	121	0	-0.623307506
82	47	0	-0.396107479
71	83	0	-0.658462509
1	51	0	0.083370009
26	45	0	0.828103946
100	20	0	-0.057860456
12	72	0	-0.223475789
124	114	0	8.141346284
112	31	0	0.084437649
2	82	0	0.368567182
137	119	0	-1.068171574
122	72	0	0.375649485
30	49	0	0.125708032
37	33	0	-0.48202168
29	59	0	0.290842694
5	72	0	0.147238057
133	131	0	1.223040745
45	33	0	0.010375622
119	62	0	2.712214247
31	82	0	0.664300874
