O, D, AMOEBA, FlowValue
149, 87, -1, 0.134125575
63, 76, 0, 6.01388354
1, 64, -1, 0.373036078
147, 33, -1, 0.206175243
148, 145, -1, 0.110728456
59, 131, 0, 1.222330942
95, 138, 0, 1.269203256
13, 131, -1, 0.026796673
19, 91, -1, 0.049970159
98, 45, 0, 2.872445666
134, 55, -1, 0.707570481
123, 31, 0, 0.348027946
13, 20, -1, 0.169794717
52, 17, -1, 0.311300065
45, 78, -1, 0.169275252
13, 101, -1, 0.090859086
71, 100, -1, 1.036824629
149, 80, -1, 0.020400246
43, 120, -1, 0.195180768
104, 122, -1, 0.62345764
143, 45, -2, 0.240240118
150, 49, -1, 0.181914493
71, 33, -1, 0.228535219
44, 25, 0, 0.539715567
138, 82, -1, 0.267227614
104, 137, -1, 0.068033259
51, 121, 0, 0.652204987
108, 126, -1, 0.057996042
123, 20, 0, 0.109455784
38, 31, -1, 0.01971625
23, 84, -1, 0.22520257
32, 68, 0, 0.898369756
110, 72, -1, 0.093318081
46, 30, -1, 0.029917898
11, 72, 0, 0.15861685
1, 82, -1, 0.638912614
27, 72, -1, 0.297961272
138, 44, -1, 0.016070392
123, 45, 0, 0.244583044
13, 123, -1, 0.11312464
102, 51, -1, 0.663651673
70, 72, -1, 0.188318727
46, 33, -1, 0.591493422
29, 55, 0, 0.070054128
124, 123, 0, 0.706558699
16, 20, 0, 1.349491486
145, 109, -1, 0.142621744
54, 33, -2, 0.16766266
79, 91, 0, 2.482223411
26, 85, 0, 2.192424943
148, 29, -1, 0.066075978
13, 63, -1, 0.046182889
108, 131, 0, 0.71735291
1, 51, -1, 0.083370009
26, 45, 0, 0.939341789
29, 91, 0, 0.268941821
124, 114, 0, 8.141346284
112, 31, -1, 0.084437649
2, 82, -1, 0.368567182
122, 72, -1, 0.397746514
30, 49, -1, 0.251416064
144, 5, -1, 0.164922283
5, 72, -1, 0.343555466
133, 131, 0, 1.223040745
45, 33, -1, 0.010375622
119, 62, 0, 2.712214247
31, 82, -1, 0.664300874
87, 17, 0, 4.672756196
55, 72, -1, 0.311408882
95, 49, -1, 0.060279574
1, 52, 0, 1.436070639
115, 146, 0, 2.333726883
63, 105, 0, 0.992051451
46, 51, -1, 0.146783773
29, 9, 0, 0.316865521
53, 131, 0, 0.264750267
54, 51, 0, 0.2933945
112, 22, -1, 0.088934472
2, 45, -1, 0.319025945
134, 123, 0, 0.788358411
122, 83, -1, 0.148745133
128, 32, 0, 0.31718625
94, 21, 0, 1.64121544
59, 21, 0, 1.014809455
25, 101, -1, 0.02924234
13, 49, -1, 0.1191529
74, 33, -2, 0.36871507
48, 145, -1, 0.799961089
124, 17, 0, 1.712687332
25, 20, -1, 0.08117497
58, 86, 0, 6.046148291
150, 101, -1, 0.150730547
50, 137, 0, 4.498945196
145, 80, -1, 0.085168625
55, 41, -1, 0.215674061
135, 145, 0, 0.40272353
84, 18, 0, 8.567808434
149, 21, -1, 0.084517852
25, 31, -1, 0.557147449
99, 32, -1, 0.224990558
122, 131, -1, 0.056318128
50, 49, -1, 0.056712884
39, 17, -1, 0.098202168
80, 78, 0, 1.662061687
145, 73, -1, 0.18267462
72, 62, 0, 1.503529739
93, 126, 0, 0.64486918
27, 45, -1, 0.877769111
150, 123, -1, 0.409634969
122, 101, -1, 0.024481673
146, 138, 0, 6.734379247
148, 49, -1, 0.338838136
4, 109, -1, 0.513383209
135, 31, -1, 0.413249004
144, 45, -1, 0.061149378
1, 31, -1, 0.07964312
35, 17, -1, 0.126745648
25, 145, 0, 1.564587073
100, 33, -1, 0.051920326
29, 20, 0, 0.021166071
148, 73, -1, 0.082426453
4, 131, 0, 0.044422726
66, 27, -1, 0.537547492
122, 108, -1, 0.943967631
52, 90, 0, 0.123568233
28, 45, -1, 0.844108386
148, 56, -1, 0.17794021
50, 80, -1, 0.026139693
35, 51, -1, 0.284865842
147, 128, 0, 2.509055825
132, 33, -1, 0.086365165
23, 135, -1, 0.022734067
53, 118, 0, 11.03919684
146, 133, 0, 0.549911428
137, 11, 0, 0.784345258
46, 79, -1, 0.120440794
122, 4, -1, 0.303891663
125, 25, 0, 0.389607996
145, 59, -1, 0.234723079
54, 31, 0, 0.189727245
2, 49, -1, 0.113915874
148, 80, -1, 0.012949169
4, 138, -1, 0.489295265
52, 33, -1, 0.035377773
59, 49, -1, 0.172544844
45, 126, 0, 0.802327921
32, 29, -1, 0.044304921
87, 50, 0, 1.115159682
38, 39, 0, 9.921037726
149, 32, -1, 0.07200394
45, 143, 0, 0.114876281
28, 73, -1, 0.333401806
54, 103, -2, 0.091509802
149, 145, -1, 0.20060908
80, 51, 0, 0.107662373
133, 55, 0, 6.159183403
93, 73, -2, 0.315978564
138, 21, -1, 0.114638311
122, 126, -1, 0.152356016
123, 100, 0, 0.10316952
91, 31, -1, 0.092696165
81, 101, 0, 0.781391041
45, 119, -1, 0.1776338
100, 145, -1, 0.051803637
144, 131, -1, 0.062769119
35, 33, -1, 0.41225758
146, 100, 0, 0.609344975
3, 72, -1, 0.456651865
149, 41, -1, 0.072732736
28, 64, -1, 0.259483952
32, 131, 0, 0.194108986
71, 34, 0, 1.279581141
122, 22, -1, 0.225650444
52, 128, -1, 0.065629707
112, 32, 0, 0.663982362
2, 3, -1, 0.061060298
41, 100, 0, 0.480949676
122, 121, -1, 0.059802707
91, 20, 0, 7.887268127
131, 119, 1, 132.1092305
6, 31, 0, 0.288816506
46, 134, -1, 0.365947525
50, 125, 0, 2.486655108
31, 45, 0, 1.246040315
70, 120, -1, 0.690268456
4, 96, 0, 2.383814643
149, 50, -1, 0.064093757
23, 146, -1, 0.339407318
63, 43, 0, 0.37584001
11, 49, 0, 0.054557527
39, 50, -1, 0.007921396
80, 33, 0, 0.139828487
137, 62, 0, 3.197562143
122, 17, -1, 0.140289107
134, 72, -1, 0.718693221
52, 62, -1, 0.415102746
56, 57, 0, 7.740489497
43, 142, 0, 0.408116368
46, 137, -1, 0.039797006
13, 64, -1, 0.586842341
126, 108, 0, 11.4444793
4, 72, -1, 0.259142143
132, 5, -1, 0.316519891
43, 31, -1, 0.054200933
32, 145, -1, 0.272231921
54, 72, 0, 0.078673428
2, 98, -1, 0.059834289
148, 133, -1, 0.245909139
48, 49, -1, 0.070666687
128, 121, -1, 0.07159466
53, 77, -1, 0.818786965
64, 145, 0, 1.426707731
102, 130, 0, 3.875263941
63, 138, 0, 1.60696663
141, 51, -1, 0.112427289
35, 71, -1, 1.006153814
146, 62, 0, 0.303464568
81, 72, 0, 0.52013376
28, 62, -1, 0.324898886
138, 145, -1, 0.30808663
13, 121, -1, 0.344177757
71, 120, -1, 0.203471283
148, 140, -1, 0.093063142
80, 31, -1, 0.11603538
44, 45, 0, 1.393116378
132, 100, -1, 0.119748388
23, 72, -1, 0.232633248
45, 91, -1, 0.095317897
39, 72, -1, 0.223270954
4, 62, -1, 0.330729316
132, 11, -1, 0.19428607
48, 80, -1, 0.358282971
29, 82, 0, 0.066709305
140, 123, 0, 0.561045856
90, 32, 0, 0.478554663
145, 128, -1, 0.076731162
104, 80, -1, 0.443642268
9, 30, 0, 34.38955587
122, 42, -1, 0.331244673
13, 137, -1, 0.212192577
145, 17, -1, 0.044700647
113, 82, 0, 0.70288745
13, 26, -1, 0.022249854
53, 17, 0, 1.001020662
82, 72, 0, 0.107493452
49, 145, -1, 0.183072735
89, 10, 0, 8.254072463
29, 43, -2, 0.051443397
145, 121, -1, 0.079359816
148, 146, -1, 0.044445713
115, 33, 0, 0.565057431
46, 124, 0, 0.037054687
122, 53, -1, 0.532541268
13, 130, -1, 0.275394179
128, 78, 0, 0.255790355
