O, D, AMOEBA, FlowValue
89, 11, 0, -56.80688499
149, 87, 0, 3.147390734
63, 76, 0, 205.5485255
40, 49, 0, -83.38544924
1, 64, 0, 64.32447605
147, 33, 0, -118.7701352
148, 145, 0, 33.29706173
59, 131, 0, 202.4510069
95, 138, 0, 133.5963347
133, 30, -5, -263.3391403
13, 131, 0, 4.438252589
19, 91, 0, 6.201596539
98, 45, 0, 802.2999265
134, 55, 0, 123.3373181
123, 31, 0, 285.3124372
13, 20, 0, 37.72514701
52, 17, 0, 144.8880779
96, 123, 0, -565.3029605
8, 87, 0, -9.804402177
45, 78, 0, 8.716490542
13, 101, 0, 17.75301036
71, 100, 6, 215.3847643
104, 100, 0, 88.79483214
149, 80, 0, 3.147390734
43, 120, 0, 27.85737026
44, 138, 0, -213.3828716
135, 93, 0, -176.4638716
104, 122, 0, 36.99784673
143, 45, 0, 67.10122699
150, 49, 0, 71.14821359
71, 33, 0, 31.46069591
44, 25, 0, 87.86353538
138, 82, 0, 48.91628201
104, 137, 0, 5.549677009
51, 121, 0, 179.9811838
108, 126, 0, 7.920867367
71, 138, 0, -217.8048178
112, 121, 0, -2.12095375
119, 83, 0, -8.619649353
49, 51, 0, -178.3673442
123, 20, 0, 29.46889023
38, 31, 0, 18.81927847
23, 84, 0, 36.51074146
32, 68, 0, 35.72187661
110, 72, 0, -345.2236736
99, 108, 0, -228.9013669
46, 30, 0, -16.23180577
11, 72, 0, -8.535154166
1, 82, 0, 116.9535928
27, 72, 0, 239.7206165
138, 44, 0, 2.223467364
123, 45, 0, 68.31424553
25, 2, 0, -25.49728818
13, 123, 0, 35.50602071
102, 51, 0, 217.2304476
70, 72, 0, -59.11155335
75, 31, 0, -69.50075292
44, 120, 0, -112.9674026
135, 83, 0, -114.1825052
48, 123, 0, 42.99292152
29, 55, 0, 4.070401667
124, 123, 0, 252.2577065
16, 20, 0, 363.3249423
145, 109, 0, 15.32998337
54, 33, 0, -8.231627009
79, 91, 0, 308.0588187
26, 85, 0, 103.5657694
148, 29, 0, 7.991294816
49, 45, 0, -112.3053649
13, 63, 0, 2.662951553
108, 131, 0, 118.8130105
146, 23, 0, -84.38818565
3, 121, -4, -172.0066926
82, 47, 0, -11.24707576
71, 83, 0, -101.6422483
1, 51, 0, 27.28917166
