O	 D	 AMOEBA	 FlowValue
77	33	4	2456.433074
9	30	3	3731.576318
131	119	2	8797.814208
89	43	1	4601.357685
89	73	1	7981.367342
63	76	0	205.5485255
59	131	0	202.4510069
95	138	0	133.5963347
98	45	0	802.2999265
134	55	0	123.3373181
123	31	0	332.1947626
52	17	0	144.8880779
71	100	0	215.3847643
44	25	0	87.86353538
51	121	0	179.9811838
123	20	0	29.46889023
11	72	0	149.3651979
27	72	0	280.5820852
123	45	0	68.31424553
102	51	0	217.2304476
70	72	0	177.3346601
29	55	0	12.211205
124	123	0	252.2577065
16	20	0	363.3249423
79	91	0	308.0588187
108	131	0	118.8130105
26	45	0	262.3666159
29	91	0	33.37729367
124	114	0	645.7797286
122	72	0	374.5471531
30	49	0	98.3308341
5	72	0	323.5169061
133	131	0	202.5685695
119	62	0	301.6877273
87	17	0	2174.836244
55	72	0	293.245335
95	49	0	23.57582378
1	52	0	58.47679641
115	146	0	279.7345065
63	105	0	44.96373996
29	9	0	4.884482001
53	131	0	43.84979254
54	51	0	96.03564843
134	123	0	281.4620848
128	32	0	65.85706383
94	21	0	381.9863289
59	21	0	236.1928413
48	145	0	288.6667587
124	17	0	797.1343525
58	86	0	151.7220452
50	137	0	366.9924565
135	145	0	145.3231884
84	18	0	177.6877791
25	31	0	531.8005821
80	78	0	85.58454242
72	62	0	167.2421235
93	126	0	88.07365306
27	45	0	245.1688124
150	123	0	146.2491057
146	138	0	708.8607595
148	49	0	132.5223057
135	31	0	394.4486542
25	145	0	564.5828097
29	20	0	5.698562333
4	131	0	7.357602795
52	90	0	1.592176681
28	45	0	235.7670691
147	128	0	608.6969432
53	118	0	230.2114108
146	133	0	75.94936709
137	11	0	106.702329
125	25	0	63.42662333
54	31	0	181.0957942
45	126	0	109.5787382
87	50	0	321.7213378
38	39	0	602.216911
80	51	0	35.24069394
133	55	0	1073.613418
123	100	0	21.43192017
91	31	0	88.47904521
81	101	0	389.3249608
146	100	0	126.5822785
3	72	0	430.0167316
32	131	0	32.14968894
71	34	0	16.94037472
112	32	0	137.8619938
41	100	0	99.91008093
91	20	0	2123.497085
6	31	0	275.6770853
50	125	0	149.2167131
31	45	0	348.0302744
4	96	0	35.56174684
63	43	0	53.52826185
11	49	0	21.33788542
137	62	0	355.6744299
134	72	0	676.7740018
56	57	0	168.9207023
126	108	0	304.4689273
4	72	0	244.0271594
54	72	0	74.08464309
53	77	0	169.9179461
64	145	0	514.8289113
102	130	0	156.1343842
63	138	0	169.1493074
146	62	0	33.75527426
81	72	0	489.7959184
44	45	0	389.1099424
23	72	0	219.0644487
39	72	0	210.24823
29	82	0	12.211205
140	123	0	200.3062748
90	32	0	99.36182609
113	82	0	128.6642506
53	17	0	465.9040457
82	72	0	101.2236818
49	145	0	66.06197935
89	10	0	795.2963899
115	33	0	101.7216387
46	124	0	0.649272231
128	78	0	13.17141277
148	1	0	12.65288346
90	131	0	27.09867984
110	49	0	62.76794065
41	33	0	974.123289
12	51	0	210.441117
126	32	0	304.4689272
146	34	0	16.87763713
140	145	0	38.7689564
46	31	0	159.0716965
44	17	0	213.3828716
138	45	0	186.7712586
146	29	0	219.4092827
3	128	0	516.0200779
140	31	0	187.3832893
82	51	0	1034.73097
83	31	0	288.7391723
62	49	0	140.6271973
126	82	0	1308.088725
146	20	0	405.0632911
8	77	0	10.8937802
82	44	0	179.9532122
135	75	0	41.52091097
11	121	0	59.74607917
72	121	0	59.34397928
122	73	0	148.5273193
123	77	0	91.0856607
51	79	0	179.9811838
139	52	0	919.8691742
72	17	0	107.8981442
71	75	0	145.2032119
135	64	0	72.6615942
93	107	0	264.2209592
83	45	0	1219.12095
6	70	0	74.50732034
123	51	0	24.11091019
96	31	0	237.2876625
8	123	0	65.36268118
11	61	0	72.54881041
80	72	0	65.44700302
79	49	0	328.5960733
39	131	0	36.56490957
64	79	0	358.5415632
63	9	0	17.12904379
11	31	0	209.1112771
72	31	0	237.3759171
123	80	0	64.2957605
150	31	0	334.001336
136	62	0	122.3872973
124	32	0	60.54184955
11	101	0	460.898325
125	31	0	158.5665583
143	31	0	158.1671779
34	49	0	131.0444241
108	72	0	123.5655309
84	33	0	63.69939251
74	91	0	486.7579707
8	16	0	3.268134059
29	123	0	20.35200834
100	48	0	146.4315869
140	49	0	116.3068692
143	100	0	81.48006135
43	43	0	167.1442216
29	116	0	11.39712467
78	110	0	1264.037225
93	72	0	205.5051905
9	73	0	1452.035973
96	49	0	76.76953785
32	21	0	155.3901633
146	101	0	194.092827
75	73	0	231.6691764
29	77	0	14.653446
139	78	0	1073.180703
70	145	0	118.2231067
2	145	0	154.0275009
78	113	0	567.9007822
79	109	0	102.6862729
26	27	0	186.418385
136	55	0	234.1322209
123	143	0	1.33949501
135	33	0	186.8440994
138	29	0	406.8945276
87	82	0	32.17213378
56	51	0	401.1866679
64	51	0	110.320481
84	62	0	77.10979093
70	121	0	334.965469
132	31	0	1276.446224
11	48	0	17.07030833
39	45	0	196.5363889
100	45	0	267.9386483
145	45	0	119.3548705
150	131	0	43.47946386
11	73	0	209.1112771
88	17	0	461.3113544
46	142	0	5.843450077
116	131	0	25.38951751
9	130	0	374.7189608
148	134	0	13.98476593
133	33	0	243.0822833
51	31	0	73.62866609
81	62	0	301.4128728
134	64	0	170.7747481
102	18	0	54.30761189
141	131	0	36.80037469
71	123	0	210.5446573
91	146	0	78.64804019
118	45	0	367.2781998
16	66	0	311.4213791
145	31	0	123.7348657
136	145	0	130.3690776
27	31	0	128.032602
95	123	0	204.3238061
71	112	0	29.04064238
146	73	0	168.7763713
40	17	0	55.59029949
99	123	0	70.071847
11	17	0	72.54881041
8	145	0	10.8937802
146	49	0	953.5864979
8	82	0	10.8937802
64	31	0	147.0939747
32	72	0	158.962351
150	77	0	486.1794595
8	33	0	88.23961957
123	17	0	34.82687027
91	72	0	570.1982915
15	49	0	152.5397875
82	64	0	483.6242577
90	128	0	135.4933992
40	31	0	106.548074
4	45	0	166.77233
80	5	0	60.41261818
81	137	0	100.4709576
30	109	0	294.9925023
126	33	0	22.55325387
131	45	0	327.8688525
81	130	0	50.23547881
138	91	0	406.8945276
141	79	0	190.6928507
63	20	0	21.41130474
102	49	0	135.7690297
71	84	0	154.883426
115	134	0	57.21842179
63	101	0	32.11695711
148	31	0	340.9619122
10	24	0	163.6884463
141	72	0	120.4375899
3	123	0	203.2806367
63	29	0	42.82260948
124	29	0	363.2510973
51	33	0	49.0857774
93	17	0	223.1199211
61	72	0	1139.478304
128	43	0	59.27135745
45	31	0	173.7072044
26	131	0	75.94823092
8	36	0	9.804402177
100	29	0	68.54244491
19	17	0	238.1413071
84	21	0	56.9941933
123	50	0	32.14788025
146	7	0	135.021097
4	121	0	164.3197957
50	52	0	46.37816758
57	94	0	151.765795
80	73	0	45.30946364
128	138	0	405.0209425
22	33	0	1617.679673
131	20	0	655.7377049
23	2	0	14.60429658
