O D Flow
73 89 303.11 
82 89 303.11 
83 89 100.11 
84 89 303.11 
93 89 303.11 
23 52 313.62 
22 17 313.18 
23 53 311.83 
34 54 311.52 
24 53 308.08 
13 17 308.01 
23 19 307.41 
33 64 308.22 
22 37 305.99 
34 72 305.56 
35 72 305.55 
12 29 304.57 
44 54 304.05 
36 72 303.57 
35 74 303.49 
13 18 301.77 
23 62 300.86 
44 64 300.23 
34 52 299.37 
23 74 315.28 
33 63 298.74 
35 63 298.27 
22 27 296.47 
44 74 296.22 
23 39 295.61 
36 62 292.71 
33 54 291.71 
12 38 290.00 
36 64 289.72 
24 62 285.04 
22 38 280.73 
22 29 270.73 
74 93 101.94 
5 93 102.84 
21 53 100.95 
72 86 96.45 
69 76 102.04 
61 8 100.16 
43 63 98.28 
57 91 95.61 
4 41 101.21 
13 62 97.87 
63 49 100.55 
69 42 101.61 
40 28 100.37 
73 90 103.28 
45 99 103.23 
79 15 99.41 
44 25 99.60 
18 73 102.47 
98 26 98.67 
33 96 100.44 
16 19 100.68 
45 69 103.44 
52 28 103.00 
23 60 97.20 
33 4 100.10 
45 72 97.83 
69 96 102.61 
16 61 97.65 
97 46 101.45 
11 3 97.03 
63 99 100.53 
9 91 103.09 
12 7 100.43 
49 81 96.41 
38 83 97.94 
47 62 98.00 
28 53 97.73 
7 85 101.70 
4 22 97.71 
60 57 101.39 
32 70 99.48 
90 66 100.69 
58 27 95.11 
30 59 97.04 
48 56 101.20 
29 96 97.80 
66 66 96.31 
92 51 101.09 
68 17 97.03 
63 19 98.55 
24 23 101.29 
46 89 97.86 
54 24 102.67 
30 58 97.81 
8 11 103.27 
87 46 97.63 
31 24 98.49 
16 12 97.72 
84 83 100.68 
70 62 99.82 
56 33 99.23 
30 22 98.53 
7 51 98.47 
11 92 100.08 
9 4 99.55 
86 95 98.75 
28 61 102.52 
75 7 101.91 
69 89 97.36 
30 44 99.20 
27 4 101.62 
94 45 97.38 
71 97 97.13 
72 11 98.81 
12 81 96.28 
1 15 100.87 
10 44 96.59 
64 1 98.58 
29 25 100.45 
56 25 96.28 
1 22 101.43 
89 64 100.62 
50 85 100.29 
60 77 101.42 
49 61 98.37 
83 45 103.24 
85 4 98.41 
79 69 100.01 
49 54 98.33 
89 3 101.52 
81 62 97.94 
71 33 101.08 
85 49 99.52 
81 58 100.58 
96 99 97.56 
60 48 102.22 
17 31 100.31 
97 79 97.75 
57 42 100.81 
54 27 101.02 
3 18 100.90 
8 46 101.17 
3 12 101.61 
43 98 102.17 
42 47 99.74 
28 4 98.75 
64 55 98.13 
89 81 101.69 
65 61 100.36 
26 53 99.09 
5 77 102.00 
94 23 101.14 
12 70 101.44 
4 12 97.59 
52 70 98.45 
90 47 100.41 
66 99 98.89 
16 41 99.24 
72 24 100.28 
98 48 97.07 
78 79 96.29 
19 32 99.40 
51 56 96.85 
30 27 97.85 
51 16 100.94 
93 49 98.19 
83 23 98.26 
12 53 100.41 
56 50 99.26 
52 11 97.34 
37 40 103.15 
25 64 97.96 
17 61 99.48 
71 57 99.76 
50 78 96.59 
79 75 100.05 
18 53 102.59 
97 50 98.79 
3 53 99.31 
5 35 96.49 
44 66 98.92 
52 58 100.16 
13 25 102.08 
93 66 97.04 
9 85 99.53 
91 81 99.82 
16 49 99.71 
57 22 101.20 
16 80 99.44 
80 88 98.77 
81 41 100.22 
98 84 101.00 
42 53 101.73 
86 90 101.12 
54 38 100.29 
100 67 100.60 
44 58 103.01 
9 26 101.74 
53 30 102.49 
1 86 99.46 
97 5 97.55 
76 39 98.60 
14 44 104.27 
24 77 97.14 
8 3 102.50 
6 82 102.61 
1 91 99.20 
45 56 96.79 
63 61 97.38 
100 6 101.82 
70 77 99.58 
21 65 101.44 
43 79 101.36 
58 100 101.85 
98 2 100.16 
34 22 98.50 
63 58 97.76 
59 77 101.83 
89 38 101.31 
29 38 101.26 
86 45 101.11 
79 71 98.60 
54 62 98.74 
21 2 102.90 
75 19 102.32 
99 54 102.70 
53 73 98.38 
59 1 99.19 
41 50 102.21 
92 8 97.53 
97 10 105.90 
9 33 101.28 
